,kernel_type,embedding_type,architecture,binary,epochs,sigmoidize,thresholds,time,eps_u_0.01_m,eps_s_0.01_m,eps_u_0.1_m,eps_s_0.1_m,eps_u_0.4_m,eps_s_0.4_m
0,SlicedWasserstein,PersistentDiagram,simple_fcn_mnist,ocsvm_detector,50,True,0:0.3_1:0.3_2:0.0,2963.0959305763245,0.566352,0.613584,0.771616,0.937344,0.99256,0.998272
1,RBF,RawGraph,simple_fcn_mnist,ocsvm_detector,50,True,0:0.3_1:0.3_2:0.0,7371.031700372696,0.980192,0.984368,0.9918399999999999,0.99384,0.9985919999999999,0.9984959999999999
2,SlicedWasserstein,PersistentDiagram,mnist_lenet,ocsvm_detector,50,False,0:0.05_2:0.05_4:0.05_5:0.0,1300.9420108795166,0.9444057971014492,0.9464347826086956,0.987392,0.9977119999999999,0.9969439999999999,0.999952
3,RBF,RawGraph,mnist_lenet,ocsvm_detector,50,False,0:0.05_2:0.05_4:0.05_5:0.0,3488.5100224018097,0.9192463768115943,1.0,0.984784,1.0,0.997408,1.0
4,SlicedWasserstein,PersistentDiagram,fashion_mnist_mlp,ocsvm_detector,50,True,0:0.025_1:0.025_2:0.025_3:0.025_4:0.025,3019.9428782463074,0.56368,0.750752,0.54704,0.717312,0.814336,0.951504
5,RBF,RawGraph,fashion_mnist_mlp,ocsvm_detector,50,True,0:0.025_1:0.025_2:0.025_3:0.025_4:0.025,3677.098311662674,0.7550399999999999,0.8470639999999999,0.826368,0.8975040000000001,0.893648,0.875616
6,SlicedWasserstein,PersistentDiagram,fashion_mnist_lenet,ocsvm_detector,200,False,0:0.05_2:0.05_4:0.0_5:0.0,4284.7126750946045,0.98656,0.979872,0.9863679999999999,0.982608,0.987584,0.999504
7,RBF,RawGraph,fashion_mnist_lenet,ocsvm_detector,200,False,0:0.05_2:0.05_4:0.0_5:0.0,6253.776926755905,0.7315039999999999,0.8541920000000001,0.8549120000000001,0.914304,0.933808,0.97912
8,SlicedWasserstein,PersistentDiagram,svhn_lenet,ocsvm_detector,250,True,0:0.2_2:0.4_4:0.4,3811.393714427948,0.5,0.540736,0.680576,0.930784,0.998192,0.999552
9,RBF,RawGraph,svhn_lenet,ocsvm_detector,250,True,0:0.2_2:0.4_4:0.4,13591.168312072754,0.39312800000000003,0.5519839999999999,0.674768,0.95184,0.999232,0.995472
10,SlicedWasserstein,PersistentDiagram,cifar_lenet,ocsvm_detector,300,False,0:0.05_2:0.05_4:0.05_5:0.05_6:0.0,5269.355240821838,0.515496,0.535288,0.5,0.7737839999999999,0.9746480000000001,0.9970239999999999
11,RBF,RawGraph,cifar_lenet,ocsvm_detector,300,False,0:0.05_2:0.05_4:0.05_5:0.05_6:0.0,11751.95308470726,0.5069600000000001,0.50512,0.740208,0.765536,0.994096,0.991296
12,,,simple_fcn_mnist,lid,50,,,38.10886597633362,0.737744,0.78272,0.675064,0.69992,0.956752,0.9764480000000001
13,,,mnist_lenet,lid,50,,,38.89971208572388,0.8298840579710145,0.8900289855072464,0.79172,0.893296,0.8536159999999999,0.927408
14,,,fashion_mnist_mlp,lid,50,,,36.21613049507141,0.6807999999999998,0.73632,0.70888,0.7328319999999999,0.8898719999999999,0.897024
15,,,fashion_mnist_lenet,lid,200,,,46.31069231033325,0.651856,0.678496,0.7484400000000001,0.789952,0.982864,0.988048
16,,,svhn_lenet,lid,250,,,60.665491580963135,0.5571520000000001,0.6645120000000001,0.943776,0.95712,0.999648,0.9994879999999999
17,,,svhn_lenet_bandw2,lid,200,,,116.1390392780304,0.558304,0.6,0.918624,0.930336,0.9995999999999999,0.999856
18,,,cifar_lenet,lid,300,,,48.65905714035034,0.544928,0.569376,0.792208,0.851008,0.9997119999999999,0.999856
19,,,simple_fcn_mnist,mahalanobis,50,,,3342.740760087967,0.513448,0.550848,0.6424000000000001,0.8244479999999998,0.996048,0.99496
20,,,mnist_lenet,mahalanobis,50,,,4823.736030578613,0.7386666666666666,0.8216231884057972,0.6638320000000001,0.758688,0.9931760000000001,0.999184
21,,,fashion_mnist_mlp,mahalanobis,50,,,9267.93897151947,0.537232,0.603152,0.6741759999999999,0.734056,0.921808,0.952144
22,,,fashion_mnist_lenet,mahalanobis,200,,,4999.773494243622,0.542304,0.569616,0.6592,0.7060639999999999,0.985328,0.9959520000000001
23,,,svhn_lenet,mahalanobis,250,,,5428.811687707901,0.535296,0.592496,0.8415040000000001,0.935344,0.93336,0.992144
24,,,cifar_lenet,mahalanobis,300,,,4378.5146498680115,0.5171520000000001,0.50384,0.826864,0.850688,0.997936,0.99776
