,embedding_type,sigmoidize,architecture,binary,epochs,aucs_l2_norm,time,eps_u_0.01_m,eps_s_0.01_m,eps_u_0.1_m,eps_s_0.1_m,eps_u_0.4_m,eps_s_0.4_m
14,,False,fashion_mnist_mlp,lid,50,None,39.030479431152344,0.6867840000000001,0.7843040000000001,0.69376,0.77288,0.892592,0.927488
21,,False,fashion_mnist_mlp,mahalanobis,50,None,7290.3641493320465,0.537232,0.603152,0.6741759999999999,0.734056,0.921808,0.952144
4,PersistentDiagram,True,fashion_mnist_mlp,ocsvm_detector,50,None,2268.654982328415,0.565408,0.611424,0.5598879999999999,0.579488,0.8439760000000001,0.8949600000000001
5,RawGraph,True,fashion_mnist_mlp,ocsvm_detector,50,None,2969.960221529007,0.7758719999999999,0.8525919999999999,0.845904,0.900352,0.90104,0.8782
13,,False,mnist_lenet,lid,50,None,35.374197006225586,0.9911304347826086,0.9948985507246377,0.8673040000000001,0.9491040000000001,0.919296,0.9675680000000001
20,,False,mnist_lenet,mahalanobis,50,None,4632.936383962631,0.7386666666666666,0.8216231884057972,0.6638320000000001,0.758688,0.9931760000000001,0.999184
2,PersistentDiagram,True,mnist_lenet,ocsvm_detector,50,None,3190.6945691108704,0.9444057971014492,0.9464347826086956,0.987392,0.9977119999999999,0.9969439999999999,0.999952
3,RawGraph,True,mnist_lenet,ocsvm_detector,50,None,5711.15168094635,0.9192463768115943,1.0,0.984784,1.0,0.997408,1.0
12,,False,simple_fcn_mnist,lid,50,None,36.257341384887695,0.754512,0.840656,0.7407999999999999,0.828208,0.992432,0.9946400000000001
19,,False,simple_fcn_mnist,mahalanobis,50,None,4491.034579992294,0.513448,0.550848,0.6424000000000001,0.8244479999999998,0.996048,0.99496
0,PersistentDiagram,True,simple_fcn_mnist,ocsvm_detector,50,None,2138.4292466640472,0.815056,0.8660480000000002,0.902816,0.973856,0.9784959999999998,0.9950239999999999
1,RawGraph,True,simple_fcn_mnist,ocsvm_detector,50,None,2117.1529479026794,0.986816,0.984944,0.9972799999999999,0.994944,0.999008,0.9980960000000001
15,,False,fashion_mnist_lenet,lid,200,None,76.22958517074585,0.74928,0.785488,0.8288479999999999,0.872544,0.984624,0.990016
22,,False,fashion_mnist_lenet,mahalanobis,200,None,4736.539902925491,0.542304,0.569616,0.6592,0.7060639999999999,0.985328,0.9959520000000001
6,PersistentDiagram,True,fashion_mnist_lenet,ocsvm_detector,200,None,3276.6214158535004,0.98656,0.979872,0.9863679999999999,0.982608,0.987584,0.999504
7,RawGraph,True,fashion_mnist_lenet,ocsvm_detector,200,None,4173.329461574554,0.7315039999999999,0.8541920000000001,0.8549120000000001,0.914304,0.933808,0.97912
17,,False,svhn_lenet_bandw2,lid,200,None,532.8367006778717,0.556368,0.625472,0.946208,0.950272,0.999776,0.999808
16,,False,svhn_lenet,lid,250,None,102.0552978515625,0.6583519999999998,0.742016,0.971488,0.9685119999999999,0.999568,0.999536
23,,False,svhn_lenet,mahalanobis,250,None,6197.172525882721,0.535296,0.592496,0.8415040000000001,0.935344,0.93336,0.992144
8,PersistentDiagram,True,svhn_lenet,ocsvm_detector,250,None,3700.5212445259094,0.511968,0.5831040000000001,0.8639519999999998,0.939904,0.99984,0.99984
9,RawGraph,False,svhn_lenet,ocsvm_detector,250,None,5980.924936056137,0.4715039999999999,0.618352,0.86048,0.991632,0.9996959999999999,0.9999359999999999
18,,False,cifar_lenet,lid,300,None,95.45524573326111,0.5569120000000001,0.5776,0.806504,0.8593279999999999,0.999728,0.999792
24,,False,cifar_lenet,mahalanobis,300,None,5682.025642156601,0.5171520000000001,0.50384,0.826864,0.850688,0.997936,0.99776
10,PersistentDiagram,True,cifar_lenet,ocsvm_detector,300,None,3938.4021236896515,0.5,0.5817920000000001,0.7868,0.8031200000000001,0.9873280000000001,0.9892
11,RawGraph,False,cifar_lenet,ocsvm_detector,300,None,3154.1781299114227,0.46035200000000004,0.55824,0.845824,0.883616,0.992144,0.9949760000000001
